name,rtg,oil_water,fish_type,country,brand,salt,sugar,sauce,boneless,skinless,pieces,size_g,size_oz,smoked,grilled,citrus,garlic,chili_pepper,tomato,dairy,gluten,organic,kosher_cert,servings,sodium_per_serving,rda_sodium
"Ramón Peña Mussels in Escabeche (Small) 16/20, Silver Line",9.5,Sunflower Oil,mussels,Spain,Ramón Peña,Yes,No,Escabeche,,,16/20,110,3.9,No,No,No,No,No,No,No,No,No,None,2,310,13
"Ramón Peña Mussels in Escabeche 8/12, Silver Line",11,Sunflower Oil,mussels,Spain,Ramón Peña,Yes,No,Escabeche,,,8/12,110,3.9,No,No,No,No,No,No,No,No,No,None,2,310,13
"Ramón Peña Mussels in Pickled Sauce 8/10, Gold Line",15.5,Olive Oil,mussels,Spain,Ramón Peña,Yes,No,Escabeche,,,8/10,138,4.9,No,No,No,No,No,No,No,?,No,None,?,?,?
"Ramón Peña Octopus in Olive Oil, Gold Line",38,Olive Oil,octopus,Spain,Ramón Peña,Yes,No,None,,,Unstated,130,4.6,No,No,No,No,No,No,No,No,No,None,2,270,11
"Ramón Peña Octopus in Paprika Sauce, Gold Line",38,Olive Oil,octopus,Spain,Ramón Peña,Yes,No,Paprika,,,Unstated,130,4.6,No,No,No,No,No,No,No,No,No,None,2,180,7
"Ramón Peña Octopus in Paprika Sauce, Silver Line",27.5,Olive Oil,octopus,Spain,Ramón Peña,Yes,No,Paprika,,,Unstated,110,3.9,No,No,No,No,No,No,No,No,No,None,2,180,7
"Ramón Peña Razorshells (Navajas) in Brine 4/6, Gold Line",25,Water,razor clam,Spain,Ramón Peña,Yes,No,None,,,4/6,115,4.0,No,No,No,No,No,No,No,No,No,None,2,115,5
"Ramón Peña Razorshells (Navajas) in Brine 6/8, Silver Line",22.5,Water,razor clam,Spain,Ramón Peña,Yes,No,None,,,6/8,115,4.0,No,No,No,No,No,No,No,No,No,None,2,115,5
"Ramón Peña Sardines in Olive Oil 25/30, Gold Line",14.5,Olive Oil,sardines,Spain,Ramón Peña,Yes,No,None,No,No,25/30,130,4.6,No,No,No,No,No,No,No,No,No,None,2,180,8
"Ramón Peña Sardines in Spicy Olive Oil 20/25, Gold Line",12,Olive Oil,sardines,Spain,Ramón Peña,Yes,No,Spicy,No,No,20/25,130,4.6,No,No,No,No,Yes,No,No,No,No,None,2,340,14
"Ramón Peña Sardines in Olive Oil 3/5, Silver Line",7.5,Olive Oil,sardines,Spain,Ramón Peña,Yes,No,None,No,No,3/5,115,4.0,No,No,No,No,No,No,No,No,No,None,2,120,5
"Ramón Peña Sardines in Olive Oil 30/35, Gold Line, Especial Aniversario",15,Olive Oil,sardines,Spain,Ramón Peña,Yes,No,None,No,No,30/35,130,4.6,No,No,No,No,No,No,No,No,No,None,2,180,8
"Ramón Peña Sardines in Sauce (Sardinas Guisadas) ""Xoubas"", Silver Line",10,Olive Oil,sardines,Spain,Ramón Peña,Yes,No,"Tomato, Onion, Red Pepper",No,No,Unstated,115,4.0,No,No,No,No,No,Yes,No,Yes,No,None,2,320,13
"Ramón Peña Small Atlantic Horse Mackerel in Olive Oil, Gold Line",12.5,Olive Oil,mackerel,Spain,Ramón Peña,Yes,No,None,No,No,Unstated,130,4.6,No,No,No,No,No,No,No,No,No,None,3,320,13
"Ramón Peña Small Sardines in Olive Oil 40/50, Large Format",22,Olive Oil,sardines,Spain,Ramón Peña,Yes,No,None,No,No,40/50,265,9.35,No,No,No,No,No,No,No,No,No,None,2,180,8
"Ramón Peña Small Sardines in Olive Oil with Padrón Pepper, Gold Line",14,Olive Oil,sardines,Spain,Ramón Peña,Yes,No,Padrón pepper,No,No,Unstated,130,4.6,No,No,No,No,Yes,No,No,No,No,None,2,260,11
"Ramón Peña Small Sardines in Spicy Olive Oil 12/16, Silver Line",8,Olive Oil,sardines,Spain,Ramón Peña,Yes,No,Spiced/Spicy,No,No,12/16,115,4.1,No,No,No,No,Yes,No,No,No,No,None,2,340,14
"Ramón Peña Spicy Mussels with Garlic and Chilli Pepper 16/20, Silver Line",10,"Olive Oil,  Sunflower Oil",mussels,Spain,Ramón Peña,Yes,No,Spiced/Spicy,,,16/20,110,3.9,No,No,No,Yes,Yes,No,No,No,No,None,2,260,11
"Ramón Peña Squids in Olive Oil, Gold Line",14.25,Olive Oil,squid,Spain,Ramón Peña,Yes,No,None,,,Unstated,130,4.6,No,No,No,No,No,No,No,No,No,None,2,160,7
"Ramón Peña Stuffed Squid in Ink Sauce 6/8, Gold Line",14,Olive Oil,squid,Spain,Ramón Peña,Yes,No,Ink,,,6/8,138,4.9,No,No,No,No,No,No,No,No,No,None,2,190,8
"Ramón Peña Yellowfin Tuna in Olive Oil, Silver Line",7.25,Olive Oil,tuna,Spain,Ramón Peña,Yes,No,None,,,,110,3.9,No,No,No,No,No,No,No,No,No,None,2,130,6
"Ramón Peña Yellowfin Tuna Ventresca in Olive Oil, Silver Line",14.5,Olive Oil,tuna,Spain,Ramón Peña,Yes,No,None,,,,110,3.9,No,No,No,No,No,No,No,No,No,None,2,190,8
"Ramón Peña Zamburiñas Guisadas (Small Scallops in Sauce), Gold Line",18.5,Olive Oil,scallops,Spain,Ramón Peña,Yes,No,"Tomato, Onion, Red Pepper",,,Unstated,110,4.0,No,No,No,No,No,Yes,No,No,No,None,?,1100,?
"Ramón Peña Zamburiñas Guisadas (Small Scallops in Sauce), Silver Line",16.5,Olive Oil,scallops,Spain,Ramón Peña,Yes,No,"Tomato, Onion, Red Pepper",,,Unstated,110,4.0,No,No,No,No,No,Yes,No,No,No,None,2,180,7
Real Conservera Clams in Brine 12+,70,Water,clams,Spain,Real Conservera,Yes,No,"onion, lemon, salt and bay leaf",,,Unstated,85,,No,No,No,No,No,No,No,No,No,None,,,
Real Conservera Cockles in Brine,55,Brine,cockles,Spain,Real Conservera,Yes,No,"Lemon, bay, onion",,,Unstated,85,3.82,No,No,No,No,No,No,No,No,No,None,1,,
Real Conservera Garfish in Olive Oil,21,Olive Oil,garfish,Spain,Real Conservera,Yes,No,None,No,No,Unstated,112,3.95,No,No,No,No,No,No,No,No,No,None,,,
Real Conservera Mussels in Escabeche 5/7,27,Olive Oil,mussels,Spain,Real Conservera,No,No,Escabeche,,,5/7,115,4.06,No,No,No,No,No,No,No,No,No,None,?,1100,?
"Real Conservera Mussels in Escabeche 7/9, Grandes",23,Olive Oil,mussels,Spain,Real Conservera,Yes,No,Escabeche,,,7/9,112,3.95,No,Fried,No,Yes,No,No,No,No,No,None,1,,
Real Conservera Portuguese Style Cod,36,Olive Oil,cod,Spain,Real Conservera,Yes,No,"potato, white wine, rice flour, pitted black olives, salt, parsley and white pepper",Yes,Yes,,,5.29,No,No,No,No,No,No,No,No,No,None,,,
Real Conservera Sardines in Olive Oil 3/4,15,Olive Oil,sardines,Spain,Real Conservera,Yes,No,None,No,No,3/4,120,4.2,No,No,No,No,No,No,No,No,No,None,?,< 1g,?
Real Conservera Sardinillas in Olive Oil with Lemon 10/14,19,Olive Oil,sardines,Spain,Real Conservera,Yes,No,Lemon,No,No,10/14,112,4.0,No,No,Yes,No,No,No,No,No,No,None,?,1500,?
Real Conservera Sea Urchin Roes in Brine,116,Brine,urchin,Spain,Real Conservera,Yes,No,None,,,Unstated,85,2.99,No,No,No,No,No,No,No,No,No,None,1,,
Real Conservera Selección 1920 Atún Claro (Yellowfin tuna) in Olive Oil,10,Olive Oil,tuna,Spain,Real Conservera,Yes,No,None,Yes,Yes,Unstated,110,4.0,No,No,No,No,No,No,No,No,No,None,1,,
Real Conservera Selección 1920 Atún Claro (Yellowfin tuna) Ventresca Pieces in Olive Oil with Curry,16.5,Sunflower Oil,tuna,Spain,Real Conservera,Yes,No,"onion, curry sauce (mustard), spices",,,,115,4.06,No,No,No,No,No,No,No,No,No,None,,,
Real Conservera Selección 1920 Clams in Brine,15.5,Brine,clams,Spain,Real Conservera,Yes,No,"Lemon, bay, onion",,,Unstated,115,4.06,No,No,No,No,No,No,No,No,No,None,1,,
Real Conservera Selección 1920 Cockles in Brine 30/40,27.5,Brine,cockles,Spain,Real Conservera,Yes,No,"Lemon, bay, onion",,,30/40,111,3.9,No,No,No,No,No,No,No,No,No,None,1,,
Real Conservera Selección 1920 Cockles in Brine 40/50,21.5,Brine,cockles,Spain,Real Conservera,Yes,No,"Lemon, bay, onion",,,40/50,111,3.9,No,No,No,No,No,No,No,No,No,None,1,,
Real Conservera Selección 1920 Mussels in Escabeche 12/16,13,Escabeche,mussels,Spain,Real Conservera,Yes,No,Escabeche,,,12/16,115,4.06,No,No,No,Yes,No,No,No,No,No,None,1,,
